resource,menu,price,location
madchef,Creamcheez Stuffed Chicken,699,Banani
madchef,Mad Monster,649,Banani
madchef,Chicken Steak Meal,419,Banani
madchef,Strawberry Caipirinha,279,Banani
madchef,Lime Refreshmint,179,Banani
madchef,Honey Limade,219,Banani
madchef,Lemon Iced Tea,179,Banani
madchef,Just Milo,299,Banani
madchef,Cake In My Shake,399,Banani
madchef,Nutella Madness,349,Banani
madchef,Peanut Butter,349,Banani
madchef,Cookies n' Cream,299,Banani
madchef,French Vanilla Latte,299,Banani
madchef,Chicken Cheese Bombs,299,Dhanmondi
madchef,Spicy Cajun Fries,159,Dhanmondi
madchef,Fries - Salt & Pepper,139,Dhanmondi
madchef,Onion Rings,149,Dhanmondi
madchef,Spicy Garlic Mushrooms 🌶,269,Dhanmondi
madchef,Paneer Sticks,399,Dhanmondi
madchef,Buffalo,399,Dhanmondi
madchef,Naga-Tastic 🌶,399,Dhanmondi
madchef,Honey Garlic,399,Dhanmondi
madchef,Original,399,Dhanmondi
madchef,The BIG Rob,379,Dhanmondi
madchef,Mushroom Melt,379,Dhanmondi
madchef,Madchef's FAV,379,Dhanmondi
madchef,Signature Chicken,269,Dhanmondi
madchef,Signature Beef,299,Dhanmondi
madchef,The HAWK,619,Dhanmondi
madchef,Smokin' Chic 🌶,419,Dhanmondi
madchef,The Cuban,419,Dhanmondi
madchef,Madame Lucy,449,Dhanmondi
madchef,Mighty Spicy Chic 🌶,449,Dhanmondi
madchef,The Dhakaiyya,447,Dhanmondi
madchef,Gyro Chicken over Cajun Fries 🌶,379,Dhanmondi
madchef,Crispy Chicken & Bacon,439,Dhanmondi
madchef,Shah Poutine,379,Dhanmondi
madchef,Roast Chicken,329,Dhanmondi
madchef,Gyro Chicken over Rice,399,Dhanmondi
madchef,Spicy Basil Chicken 🌶,349,Dhanmondi
madchef,Creamy Mushroom Stuffed Chicken,497,Dhanmondi
madchef,Achari Fried Rice,299,Dhanmondi
madchef,Mango Habanero Grilled Chicken,649,Dhanmondi
madchef,Creamcheez Stuffed Chicken,699,Dhanmondi
madchef,Mad Monster,649,Dhanmondi
madchef,Chicken Steak Meal,419,Dhanmondi
madchef,Strawberry Caipirinha,279,Dhanmondi
madchef,Lime Refreshmint,179,Dhanmondi
madchef,Honey Limade,219,Dhanmondi
madchef,Lemon Iced Tea,179,Dhanmondi
madchef,Just Milo,299,Dhanmondi
madchef,Cake In My Shake,399,Dhanmondi
madchef,Nutella Madness,349,Dhanmondi
madchef,Peanut Butter,349,Dhanmondi
madchef,Cookies n' Cream,299,Dhanmondi
madchef,French Vanilla Latte,299,Dhanmondi
madchef,Chicken Cheese Bombs,299,Mirpur
madchef,Spicy Cajun Fries,159,Mirpur
madchef,Fries - Salt & Pepper,139,Mirpur
madchef,Onion Rings,149,Mirpur
madchef,Spicy Garlic Mushrooms 🌶,269,Mirpur
madchef,Paneer Sticks,399,Mirpur
madchef,Buffalo,399,Mirpur
madchef,Naga-Tastic 🌶,399,Mirpur
madchef,Honey Garlic,399,Mirpur
madchef,Original,399,Mirpur
madchef,The BIG Rob,379,Mirpur
madchef,Mushroom Melt,379,Mirpur
madchef,Madchef's FAV,379,Mirpur
madchef,Signature Chicken,269,Mirpur
madchef,Signature Beef,299,Mirpur
madchef,The HAWK,619,Mirpur
madchef,Smokin' Chic 🌶,419,Mirpur
madchef,The Cuban,419,Mirpur
madchef,Madame Lucy,449,Mirpur
madchef,Mighty Spicy Chic 🌶,449,Mirpur
madchef,The Dhakaiyya,447,Mirpur
madchef,Gyro Chicken over Cajun Fries 🌶,379,Mirpur
madchef,Crispy Chicken & Bacon,439,Mirpur
madchef,Shah Poutine,379,Mirpur
madchef,Roast Chicken,329,Mirpur
madchef,Gyro Chicken over Rice,399,Mirpur
madchef,Spicy Basil Chicken 🌶,349,Mirpur
madchef,Creamy Mushroom Stuffed Chicken,497,Mirpur
madchef,Achari Fried Rice,299,Mirpur
madchef,Mango Habanero Grilled Chicken,649,Mirpur
madchef,Creamcheez Stuffed Chicken,699,Mirpur
madchef,Mad Monster,649,Mirpur
madchef,Chicken Steak Meal,419,Mirpur
madchef,Strawberry Caipirinha,279,Mirpur
madchef,Lime Refreshmint,179,Mirpur
madchef,Honey Limade,219,Mirpur
madchef,Lemon Iced Tea,179,Mirpur
madchef,Just Milo,299,Mirpur
madchef,Cake In My Shake,399,Mirpur
madchef,Nutella Madness,349,Mirpur
madchef,Peanut Butter,349,Mirpur
madchef,Cookies n' Cream,299,Mirpur
madchef,French Vanilla Latte,299,Mirpur
madchef,Chicken Cheese Bombs,299,Uttara
madchef,Spicy Cajun Fries,159,Uttara
madchef,Fries - Salt & Pepper,139,Uttara
madchef,Onion Rings,149,Uttara
madchef,Spicy Garlic Mushrooms 🌶,269,Uttara
madchef,Paneer Sticks,399,Uttara
madchef,Buffalo,399,Uttara
madchef,Naga-Tastic 🌶,399,Uttara
madchef,Honey Garlic,399,Uttara
madchef,Original,399,Uttara
madchef,The BIG Rob,379,Uttara
madchef,Mushroom Melt,379,Uttara
madchef,Madchef's FAV,379,Uttara
madchef,Signature Chicken,269,Uttara
madchef,Signature Beef,299,Uttara
madchef,The HAWK,619,Uttara
madchef,Smokin' Chic 🌶,419,Uttara
madchef,The Cuban,419,Uttara
madchef,Madame Lucy,449,Uttara
madchef,Mighty Spicy Chic 🌶,449,Uttara
madchef,The Dhakaiyya,447,Uttara
madchef,Gyro Chicken over Cajun Fries 🌶,379,Uttara
madchef,Crispy Chicken & Bacon,439,Uttara
madchef,Shah Poutine,379,Uttara
madchef,Roast Chicken,329,Uttara
madchef,Gyro Chicken over Rice,399,Uttara
madchef,Spicy Basil Chicken 🌶,349,Uttara
madchef,Creamy Mushroom Stuffed Chicken,497,Uttara
madchef,Achari Fried Rice,299,Uttara
madchef,Mango Habanero Grilled Chicken,649,Uttara
madchef,Creamcheez Stuffed Chicken,699,Uttara
madchef,Mad Monster,649,Uttara
madchef,Chicken Steak Meal,419,Uttara
madchef,Strawberry Caipirinha,279,Uttara
madchef,Lime Refreshmint,179,Uttara
madchef,Honey Limade,219,Uttara
madchef,Lemon Iced Tea,179,Uttara
madchef,Just Milo,299,Uttara
madchef,Cake In My Shake,399,Uttara
madchef,Nutella Madness,349,Uttara
madchef,Peanut Butter,349,Uttara
madchef,Cookies n' Cream,299,Uttara
madchef,French Vanilla Latte,299,Uttara
madchef,Chicken Cheese Bombs,299,Bailey Road
madchef,Spicy Cajun Fries,159,Bailey Road
madchef,Fries - Salt & Pepper,139,Bailey Road
madchef,Onion Rings,149,Bailey Road
madchef,Spicy Garlic Mushrooms 🌶,269,Bailey Road
madchef,Paneer Sticks,399,Bailey Road
madchef,Buffalo,399,Bailey Road
madchef,Naga-Tastic 🌶,399,Bailey Road
madchef,Honey Garlic,399,Bailey Road
madchef,Original,399,Bailey Road
madchef,The BIG Rob,379,Bailey Road
madchef,Mushroom Melt,379,Bailey Road
madchef,Madchef's FAV,379,Bailey Road
madchef,Signature Chicken,269,Bailey Road
madchef,Signature Beef,299,Bailey Road
madchef,The HAWK,619,Bailey Road
madchef,Smokin' Chic 🌶,419,Bailey Road
madchef,The Cuban,419,Bailey Road
madchef,Madame Lucy,449,Bailey Road
madchef,Mighty Spicy Chic 🌶,449,Bailey Road
madchef,The Dhakaiyya,447,Bailey Road
madchef,Gyro Chicken over Cajun Fries 🌶,379,Bailey Road
madchef,Crispy Chicken & Bacon,439,Bailey Road
madchef,Shah Poutine,379,Bailey Road
madchef,Roast Chicken,329,Bailey Road
madchef,Gyro Chicken over Rice,399,Bailey Road
madchef,Spicy Basil Chicken 🌶,349,Bailey Road
madchef,Creamy Mushroom Stuffed Chicken,497,Bailey Road
madchef,Achari Fried Rice,299,Bailey Road
madchef,Mango Habanero Grilled Chicken,649,Bailey Road
madchef,Creamcheez Stuffed Chicken,699,Bailey Road
madchef,Mad Monster,649,Bailey Road
madchef,Chicken Steak Meal,419,Bailey Road
madchef,Strawberry Caipirinha,279,Bailey Road
madchef,Lime Refreshmint,179,Bailey Road
madchef,Honey Limade,219,Bailey Road
madchef,Lemon Iced Tea,179,Bailey Road
madchef,Just Milo,299,Bailey Road
madchef,Cake In My Shake,399,Bailey Road
madchef,Nutella Madness,349,Bailey Road
madchef,Peanut Butter,349,Bailey Road
madchef,Cookies n' Cream,299,Bailey Road
madchef,French Vanilla Latte,299,Bailey Road
madchef,Chicken Cheese Bombs,299,Sylhet
madchef,Spicy Cajun Fries,159,Sylhet
madchef,Fries - Salt & Pepper,139,Sylhet
madchef,Onion Rings,149,Sylhet
madchef,Spicy Garlic Mushrooms 🌶,269,Sylhet
madchef,Paneer Sticks,399,Sylhet
madchef,Buffalo,399,Sylhet
madchef,Naga-Tastic 🌶,399,Sylhet
madchef,Honey Garlic,399,Sylhet
madchef,Original,399,Sylhet
madchef,The BIG Rob,379,Sylhet
madchef,Mushroom Melt,379,Sylhet
madchef,Madchef's FAV,379,Sylhet
madchef,Signature Chicken,269,Sylhet
madchef,Signature Beef,299,Sylhet
madchef,The HAWK,619,Sylhet
madchef,Smokin' Chic 🌶,419,Sylhet
madchef,The Cuban,419,Sylhet
madchef,Madame Lucy,449,Sylhet
madchef,Mighty Spicy Chic 🌶,449,Sylhet
madchef,The Dhakaiyya,447,Sylhet
madchef,Gyro Chicken over Cajun Fries 🌶,379,Sylhet
madchef,Crispy Chicken & Bacon,439,Sylhet
madchef,Shah Poutine,379,Sylhet
madchef,Roast Chicken,329,Sylhet
madchef,Gyro Chicken over Rice,399,Sylhet
madchef,Spicy Basil Chicken 🌶,349,Sylhet
madchef,Creamy Mushroom Stuffed Chicken,497,Sylhet
madchef,Achari Fried Rice,299,Sylhet
madchef,Mango Habanero Grilled Chicken,649,Sylhet
madchef,Creamcheez Stuffed Chicken,699,Sylhet
madchef,Mad Monster,649,Sylhet
madchef,Chicken Steak Meal,419,Sylhet
madchef,Strawberry Caipirinha,279,Sylhet
madchef,Lime Refreshmint,179,Sylhet
madchef,Honey Limade,219,Sylhet
madchef,Lemon Iced Tea,179,Sylhet
madchef,Just Milo,299,Sylhet
madchef,Cake In My Shake,399,Sylhet
madchef,Nutella Madness,349,Sylhet
madchef,Peanut Butter,349,Sylhet
madchef,Cookies n' Cream,299,Sylhet
madchef,French Vanilla Latte,299,Sylhet
madchef,Chicken Cheese Bombs,299,Bashundhara(Delivery)
madchef,Spicy Cajun Fries,159,Bashundhara(Delivery)
madchef,Fries - Salt & Pepper,139,Bashundhara(Delivery)
madchef,Onion Rings,149,Bashundhara(Delivery)
madchef,Spicy Garlic Mushrooms 🌶,269,Bashundhara(Delivery)
madchef,Paneer Sticks,399,Bashundhara(Delivery)
madchef,Buffalo,399,Bashundhara(Delivery)
madchef,Naga-Tastic 🌶,399,Bashundhara(Delivery)
madchef,Honey Garlic,399,Bashundhara(Delivery)
madchef,Original,399,Bashundhara(Delivery)
madchef,The BIG Rob,379,Bashundhara(Delivery)
madchef,Mushroom Melt,379,Bashundhara(Delivery)
madchef,Madchef's FAV,379,Bashundhara(Delivery)
madchef,Signature Chicken,269,Bashundhara(Delivery)
madchef,Signature Beef,299,Bashundhara(Delivery)
madchef,The HAWK,619,Bashundhara(Delivery)
madchef,Smokin' Chic 🌶,419,Bashundhara(Delivery)
madchef,The Cuban,419,Bashundhara(Delivery)
madchef,Madame Lucy,449,Bashundhara(Delivery)
madchef,Mighty Spicy Chic 🌶,449,Bashundhara(Delivery)
madchef,The Dhakaiyya,447,Bashundhara(Delivery)
madchef,Gyro Chicken over Cajun Fries 🌶,379,Bashundhara(Delivery)
madchef,Crispy Chicken & Bacon,439,Bashundhara(Delivery)
madchef,Shah Poutine,379,Bashundhara(Delivery)
madchef,Roast Chicken,329,Bashundhara(Delivery)
madchef,Gyro Chicken over Rice,399,Bashundhara(Delivery)
madchef,Spicy Basil Chicken 🌶,349,Bashundhara(Delivery)
madchef,Creamy Mushroom Stuffed Chicken,497,Bashundhara(Delivery)
madchef,Achari Fried Rice,299,Bashundhara(Delivery)
madchef,Mango Habanero Grilled Chicken,649,Bashundhara(Delivery)
madchef,Creamcheez Stuffed Chicken,699,Bashundhara(Delivery)
madchef,Mad Monster,649,Bashundhara(Delivery)
madchef,Chicken Steak Meal,419,Bashundhara(Delivery)
madchef,Strawberry Caipirinha,279,Bashundhara(Delivery)
madchef,Lime Refreshmint,179,Bashundhara(Delivery)
madchef,Honey Limade,219,Bashundhara(Delivery)
madchef,Lemon Iced Tea,179,Bashundhara(Delivery)
madchef,Just Milo,299,Bashundhara(Delivery)
madchef,Cake In My Shake,399,Bashundhara(Delivery)
madchef,Nutella Madness,349,Bashundhara(Delivery)
madchef,Peanut Butter,349,Bashundhara(Delivery)
madchef,Cookies n' Cream,299,Bashundhara(Delivery)
madchef,French Vanilla Latte,299,Bashundhara(Delivery)
madchef,Chicken Cheese Bombs,299,Gulshan(Delivery)
madchef,Spicy Cajun Fries,159,Gulshan(Delivery)
madchef,Fries - Salt & Pepper,139,Gulshan(Delivery)
madchef,Onion Rings,149,Gulshan(Delivery)
madchef,Spicy Garlic Mushrooms 🌶,269,Gulshan(Delivery)
madchef,Paneer Sticks,399,Gulshan(Delivery)
madchef,Buffalo,399,Gulshan(Delivery)
madchef,Naga-Tastic 🌶,399,Gulshan(Delivery)
madchef,Honey Garlic,399,Gulshan(Delivery)
madchef,Original,399,Gulshan(Delivery)
madchef,The BIG Rob,379,Gulshan(Delivery)
madchef,Mushroom Melt,379,Gulshan(Delivery)
madchef,Madchef's FAV,379,Gulshan(Delivery)
madchef,Signature Chicken,269,Gulshan(Delivery)
madchef,Signature Beef,299,Gulshan(Delivery)
madchef,The HAWK,619,Gulshan(Delivery)
madchef,Smokin' Chic 🌶,419,Gulshan(Delivery)
madchef,The Cuban,419,Gulshan(Delivery)
madchef,Madame Lucy,449,Gulshan(Delivery)
madchef,Mighty Spicy Chic 🌶,449,Gulshan(Delivery)
madchef,The Dhakaiyya,447,Gulshan(Delivery)
madchef,Gyro Chicken over Cajun Fries 🌶,379,Gulshan(Delivery)
madchef,Crispy Chicken & Bacon,439,Gulshan(Delivery)
madchef,Shah Poutine,379,Gulshan(Delivery)
madchef,Roast Chicken,329,Gulshan(Delivery)
madchef,Gyro Chicken over Rice,399,Gulshan(Delivery)
madchef,Spicy Basil Chicken 🌶,349,Gulshan(Delivery)
madchef,Creamy Mushroom Stuffed Chicken,497,Gulshan(Delivery)
madchef,Achari Fried Rice,299,Gulshan(Delivery)
madchef,Mango Habanero Grilled Chicken,649,Gulshan(Delivery)
madchef,Creamcheez Stuffed Chicken,699,Gulshan(Delivery)
madchef,Mad Monster,649,Gulshan(Delivery)
madchef,Chicken Steak Meal,419,Gulshan(Delivery)
madchef,Strawberry Caipirinha,279,Gulshan(Delivery)
madchef,Lime Refreshmint,179,Gulshan(Delivery)
madchef,Honey Limade,219,Gulshan(Delivery)
madchef,Lemon Iced Tea,179,Gulshan(Delivery)
madchef,Just Milo,299,Gulshan(Delivery)
madchef,Cake In My Shake,399,Gulshan(Delivery)
madchef,Nutella Madness,349,Gulshan(Delivery)
madchef,Peanut Butter,349,Gulshan(Delivery)
madchef,Cookies n' Cream,299,Gulshan(Delivery)
madchef,French Vanilla Latte,299,Gulshan(Delivery)
pizzahutbd,Classic Margherita - personal,179,Gulshan
pizzahutbd,Classic Margherita - medium,349,Gulshan
pizzahutbd,Classic Margherita - family,639,Gulshan
pizzahutbd,Veggie Lovers - personal,199,Gulshan
pizzahutbd,Veggie Lovers - medium,389,Gulshan
pizzahutbd,Veggie Lovers - family,709,Gulshan
pizzahutbd,Classic Beef - personal,269,Gulshan
pizzahutbd,Classic Beef - medium,509,Gulshan
pizzahutbd,Classic Beef - family,809,Gulshan
pizzahutbd,Ultimate Hot Chicken - personal,269,Gulshan
pizzahutbd,Ultimate Hot Chicken - medium,509,Gulshan
pizzahutbd,Ultimate Hot Chicken - family,809,Gulshan
pizzahutbd,Classic Chicken Sausage - personal,269,Gulshan
pizzahutbd,Classic Chicken Sausage - medium,509,Gulshan
pizzahutbd,Classic Chicken Sausage - family,809,Gulshan
pizzahutbd,Chicken Exotica - personal,329,Gulshan
pizzahutbd,Chicken Exotica - medium,619,Gulshan
pizzahutbd,Chicken Exotica - family,1089,Gulshan
pizzahutbd,Spicy Beef. - personal,329,Gulshan
pizzahutbd,Spicy Beef. - medium,619,Gulshan
pizzahutbd,Spicy Beef. - family,1089,Gulshan
pizzahutbd,Spicy Chicken. - personal,379,Gulshan
pizzahutbd,Spicy Chicken. - medium,709,Gulshan
pizzahutbd,Spicy Chicken. - family,1239,Gulshan
pizzahutbd,Beef Lovers. - personal,379,Gulshan
pizzahutbd,Beef Lovers. - medium,709,Gulshan
pizzahutbd,Beef Lovers. - family,1239,Gulshan
pizzahutbd,Veggie Supreme - personal,329,Gulshan
pizzahutbd,Veggie Supreme - medium,619,Gulshan
pizzahutbd,Veggie Supreme - family,1089,Gulshan
pizzahutbd,Double Cheese - personal,329,Gulshan
pizzahutbd,Double Cheese - medium,619,Gulshan
pizzahutbd,Double Cheese - family,1089,Gulshan
pizzahutbd,Spicy Kala Bhuna - personal,379,Gulshan
pizzahutbd,Spicy Kala Bhuna - medium,709,Gulshan
pizzahutbd,Spicy Kala Bhuna - family,1239,Gulshan
pizzahutbd,BBQ Chicken - personal,379,Gulshan
pizzahutbd,BBQ Chicken - medium,709,Gulshan
pizzahutbd,BBQ Chicken - family,1239,Gulshan
pizzahutbd,Smoky Grilled Buzz - personal,379,Gulshan
pizzahutbd,Smoky Grilled Buzz - medium,709,Gulshan
pizzahutbd,Smoky Grilled Buzz - family,1239,Gulshan
pizzahutbd,Beef Pepperoni - personal,379,Gulshan
pizzahutbd,Beef Pepperoni - medium,709,Gulshan
pizzahutbd,Beef Pepperoni - family,1239,Gulshan
pizzahutbd,Red N Hot. - personal,429,Gulshan
pizzahutbd,Red N Hot. - medium,819,Gulshan
pizzahutbd,Red N Hot. - family,1359,Gulshan
pizzahutbd,Supreme. - personal,429,Gulshan
pizzahutbd,Supreme. - medium,819,Gulshan
pizzahutbd,Supreme. - family,1359,Gulshan
pizzahutbd,Chicken Supreme. - personal,429,Gulshan
pizzahutbd,Chicken Supreme. - medium,819,Gulshan
pizzahutbd,Chicken Supreme. - family,1359,Gulshan
pizzahutbd,Chicken Classic. - personal,429,Gulshan
pizzahutbd,Chicken Classic. - medium,819,Gulshan
pizzahutbd,Chicken Classic. - family,1359,Gulshan
pizzahutbd,Chicken Delight. - personal,429,Gulshan
pizzahutbd,Chicken Delight. - medium,819,Gulshan
pizzahutbd,Chicken Delight. - family,1359,Gulshan
pizzahutbd,Bbq Temptation . - personal,429,Gulshan
pizzahutbd,Bbq Temptation . - medium,819,Gulshan
pizzahutbd,Bbq Temptation . - family,1359,Gulshan
pizzahutbd,Triple Chicken Feast - personal,479,Gulshan
pizzahutbd,Triple Chicken Feast - medium,899,Gulshan
pizzahutbd,Triple Chicken Feast - family,1529,Gulshan
pizzahutbd,Bbq Blast - personal,479,Gulshan
pizzahutbd,Bbq Blast - medium,899,Gulshan
pizzahutbd,Bbq Blast - family,1529,Gulshan
pizzahutbd,The Works - personal,479,Gulshan
pizzahutbd,The Works - medium,899,Gulshan
pizzahutbd,The Works - family,1529,Gulshan
pizzahutbd,Baked-Chicken Arabiatta - family,489,Gulshan
pizzahutbd,Baked-Chicken Mushroom - family,599,Gulshan
pizzahutbd,Garlic Bread Sticks - family,149,Gulshan
pizzahutbd,Garlic Bread - family,189,Gulshan
pizzahutbd,Baked Potato Wedges - family,259,Gulshan
pizzahutbd,Spicy Garlic Mushrooms - family,489,Gulshan
pizzahutbd,Garlic Bread Spicy Supreme - family,299,Gulshan
pizzahutbd,Garlic Bread Exotica - family,339,Gulshan
pizzahutbd,Cheesy Garlic Sticks - family,209,Gulshan
pizzahutbd,Garlic bread with cheese - family,289,Gulshan
pizzahutbd,PEPSI - family,35,Gulshan
pizzahutbd,Mountain Dew - family,32,Gulshan
pizzahutbd,7 UP - medium,35,Gulshan
pizzahutbd,Classic Margherita - personal,179,RM Center
pizzahutbd,Classic Margherita - medium,349,RM Center
pizzahutbd,Classic Margherita - family,639,RM Center
pizzahutbd,Veggie Lovers - personal,199,RM Center
pizzahutbd,Veggie Lovers - medium,389,RM Center
pizzahutbd,Veggie Lovers - family,709,RM Center
pizzahutbd,Classic Beef - personal,269,RM Center
pizzahutbd,Classic Beef - medium,509,RM Center
pizzahutbd,Classic Beef - family,809,RM Center
pizzahutbd,Ultimate Hot Chicken - personal,269,RM Center
pizzahutbd,Ultimate Hot Chicken - medium,509,RM Center
pizzahutbd,Ultimate Hot Chicken - family,809,RM Center
pizzahutbd,Classic Chicken Sausage - personal,269,RM Center
pizzahutbd,Classic Chicken Sausage - medium,509,RM Center
pizzahutbd,Classic Chicken Sausage - family,809,RM Center
pizzahutbd,Chicken Exotica - personal,329,RM Center
pizzahutbd,Chicken Exotica - medium,619,RM Center
pizzahutbd,Chicken Exotica - family,1089,RM Center
pizzahutbd,Spicy Beef. - personal,329,RM Center
pizzahutbd,Spicy Beef. - medium,619,RM Center
pizzahutbd,Spicy Beef. - family,1089,RM Center
pizzahutbd,Spicy Chicken. - personal,379,RM Center
pizzahutbd,Spicy Chicken. - medium,709,RM Center
pizzahutbd,Spicy Chicken. - family,1239,RM Center
pizzahutbd,Beef Lovers. - personal,379,RM Center
pizzahutbd,Beef Lovers. - medium,709,RM Center
pizzahutbd,Beef Lovers. - family,1239,RM Center
pizzahutbd,Veggie Supreme - personal,329,RM Center
pizzahutbd,Veggie Supreme - medium,619,RM Center
pizzahutbd,Veggie Supreme - family,1089,RM Center
pizzahutbd,Double Cheese - personal,329,RM Center
pizzahutbd,Double Cheese - medium,619,RM Center
pizzahutbd,Double Cheese - family,1089,RM Center
pizzahutbd,Spicy Kala Bhuna - personal,379,RM Center
pizzahutbd,Spicy Kala Bhuna - medium,709,RM Center
pizzahutbd,Spicy Kala Bhuna - family,1239,RM Center
pizzahutbd,BBQ Chicken - personal,379,RM Center
pizzahutbd,BBQ Chicken - medium,709,RM Center
pizzahutbd,BBQ Chicken - family,1239,RM Center
pizzahutbd,Smoky Grilled Buzz - personal,379,RM Center
pizzahutbd,Smoky Grilled Buzz - medium,709,RM Center
pizzahutbd,Smoky Grilled Buzz - family,1239,RM Center
pizzahutbd,Beef Pepperoni - personal,379,RM Center
pizzahutbd,Beef Pepperoni - medium,709,RM Center
pizzahutbd,Beef Pepperoni - family,1239,RM Center
pizzahutbd,Red N Hot. - personal,429,RM Center
pizzahutbd,Red N Hot. - medium,819,RM Center
pizzahutbd,Red N Hot. - family,1359,RM Center
pizzahutbd,Supreme. - personal,429,RM Center
pizzahutbd,Supreme. - medium,819,RM Center
pizzahutbd,Supreme. - family,1359,RM Center
pizzahutbd,Chicken Supreme. - personal,429,RM Center
pizzahutbd,Chicken Supreme. - medium,819,RM Center
pizzahutbd,Chicken Supreme. - family,1359,RM Center
pizzahutbd,Chicken Classic. - personal,429,RM Center
pizzahutbd,Chicken Classic. - medium,819,RM Center
pizzahutbd,Chicken Classic. - family,1359,RM Center
pizzahutbd,Chicken Delight. - personal,429,RM Center
pizzahutbd,Chicken Delight. - medium,819,RM Center
pizzahutbd,Chicken Delight. - family,1359,RM Center
pizzahutbd,Bbq Temptation . - personal,429,RM Center
pizzahutbd,Bbq Temptation . - medium,819,RM Center
pizzahutbd,Bbq Temptation . - family,1359,RM Center
pizzahutbd,Triple Chicken Feast - personal,479,RM Center
pizzahutbd,Triple Chicken Feast - medium,899,RM Center
pizzahutbd,Triple Chicken Feast - family,1529,RM Center
pizzahutbd,Bbq Blast - personal,479,RM Center
pizzahutbd,Bbq Blast - medium,899,RM Center
pizzahutbd,Bbq Blast - family,1529,RM Center
pizzahutbd,The Works - personal,479,RM Center
pizzahutbd,The Works - medium,899,RM Center
pizzahutbd,The Works - family,1529,RM Center
pizzahutbd,Baked-Chicken Arabiatta - family,489,RM Center
pizzahutbd,Baked-Chicken Mushroom - family,599,RM Center
pizzahutbd,Garlic Bread Sticks - family,149,RM Center
pizzahutbd,Garlic Bread - family,189,RM Center
pizzahutbd,Baked Potato Wedges - family,259,RM Center
pizzahutbd,Spicy Garlic Mushrooms - family,489,RM Center
pizzahutbd,Garlic Bread Spicy Supreme - family,299,RM Center
pizzahutbd,Garlic Bread Exotica - family,339,RM Center
pizzahutbd,Cheesy Garlic Sticks - family,209,RM Center
pizzahutbd,Garlic bread with cheese - family,289,RM Center
pizzahutbd,PEPSI - family,35,RM Center
pizzahutbd,Mountain Dew - family,32,RM Center
pizzahutbd,7 UP - medium,35,RM Center
pizzahutbd,Classic Margherita - personal,179,Dhanmondi
